Artist ID,Name,Nationality,Gender,Birth Year,Death Year,wikidata_id,enhanced_birth_year,match_status
5188,Sawada Tetsuro,Japanese,Male,1933.0,1998.0,,,api_error
5189,Jan Sawka,Polish,Male,1946.0,2012.0,,,api_error
5190,Dietrich Sayler,Romanian,Male,,,,,api_error
5191,Jeffrey Scales,American,Male,1954.0,,,,api_error
5193,Emilio Scanavino,Italian,Male,1922.0,,,,api_error
5194,Italo Scanga,American,Male,1932.0,2001.0,,,api_error
5195,Concetta Scaravaglione,American,Female,1900.0,1975.0,,,api_error
5196,Afra Scarpa,Italian,Female,1937.0,,,,api_error
5197,Carlo Scarpa,Italian,Male,1906.0,1978.0,,,api_error
5198,Tobia Scarpa,Italian,Male,1935.0,,,,api_error
5199,Salvatore Scarpitta,American,Male,1919.0,2007.0,,,api_error
5200,Christian Schad,German,Male,1894.0,1982.0,,,api_error
5201,Fritz Schaefler,German,Male,1888.0,1954.0,,,api_error
5202,Louis Schanker,American,Male,1903.0,1981.0,,,api_error
5203,Philip von Schantz,Swedish,Male,1928.0,,,,api_error
5204,Miriam Schapiro,American,Female,1923.0,2015.0,,,api_error
5205,Edwin Scharff,German,Male,1887.0,1955.0,,,api_error
5206,Josef Scharl,American,Male,1896.0,1954.0,,,api_error
5207,Bezalel Schatz,Israeli,Male,1913.0,,,,api_error
5208,Xanti Schawinsky,American,Male,1904.0,1979.0,,,api_error
5209,Stephen Scheer,American,Male,1954.0,,,,api_error
5210,Roman Scheidl,German,Male,,,,,api_error
5211,Sherril Schell,American,Male,1877.0,1967.0,,,api_error
5212,Gustav Schenk,German,Male,1905.0,1969.0,,,api_error
5213,Chris Schiavo,American,Male,1961.0,,,,api_error
5214,Elso Schiavo,Swiss,Male,1934.0,,,,api_error
5215,Egon Schiele,Austrian,Male,1890.0,1918.0,,,api_error
5216,Moik Schiele,Swiss,Female,1938.0,1993.0,,,api_error
5217,M. Schimmel,Nationality unknown,,,,,,api_error
5218,Adolf Ferdinand Schinnerer,German,Male,1876.0,1949.0,,,api_error
5219,Oskar Schlemmer,German,Male,1888.0,1943.0,,,api_error
5220,John Schlesinger,American,Male,1954.0,,,,api_error
5221,Rudolf Schlichter,German,Male,1890.0,1955.0,,,api_error
5223,Edwin Schlossberg,American,Male,1945.0,,,,api_error
5224,Eberhard Schlotter,German,Male,,,,,api_error
5225,Peter Schlumbohm,American,Male,1896.0,1962.0,,,api_error
5226,Regina Schmeken,German,Female,1955.0,,,,api_error
5227,Elsa Schmid,American,Female,1897.0,1970.0,,,api_error
5228,Georg Schmid,Austrian,Male,1928.0,,,,api_error
5229,Wilhelm Schmid,Swiss,Male,1892.0,1971.0,,,api_error
5230,Joost Schmidt,German,Male,1893.0,1948.0,,,api_error
5231,Arnold Schmidt,American,Male,1930.0,1993.0,,,api_error
5232,Arthur Schmidt,German,Male,1908.0,,,,api_error
5233,Charlotte Schmidt,German,Female,,,,,api_error
5234,Julius Schmidt,American,Male,1923.0,,,,api_error
5235,Katherine Schmidt,American,Female,1898.0,1978.0,,,api_error
5236,Louis A. Schmidt,American,Male,1857.0,1935.0,,,api_error
5237,Marianna Schmidt,Canadian,Female,,,,,api_error
5238,Michael Schmidt,German,Male,1945.0,2014.0,,,api_error
5239,Otto Schmidt,Austrian,Male,1849.0,,,,api_error
5240,Wolfgang Schmidt,German,Male,1930.0,,,,api_error
5241,Helmut Schmidt-Rhen,German,Male,1936.0,,,,api_error
5242,Karl Schmidt-Rottluff,German,Male,1884.0,1976.0,,,api_error
5243,José Manuel Schmill,Mexican,Male,,,,,api_error
5244,Hans Schmithals,German,Male,1878.0,1964.0,,,api_error
5245,Julian Schnabel,American,Male,1951.0,,,,api_error
5246,Schneck,American,,,,,,api_error
5247,Gérard Schneider,French,Male,1896.0,1986.0,,,api_error
5248,Martin Schneider,American,Male,1926.0,,,,api_error
5249,Robert Schneider,American,Male,1942.0,,,,api_error
